Matricula,PR1,PR2,PR3,Total,E.F,N.F.,Teoricas,Nota
1091,20,35,13,23,0,23,10,23
1182,52.5,25,47.5,42,0,42,4,42
1328,54,20,22.5,32,0,32,8,32
1331,20,15,0,12,0,12,16,L
1551,16,57,40,38,0,38,14,38
1632,5,25,40,23,0,23,16,L
2004,10,0,0,3,0,3,0,J
2237,35,37,41,38,0,38,6,38
2467,27,2,10,13,0,13,24,L
2471,8,30,65,34,0,34,6,34
2595,27,55,15.5,33,0,33,14,33
2605,26,10,29,22,0,22,8,22
2637,0,0,0,0,0,0,26,L
2648,39,90,50,60,0,60,12,60
2649,20,30,0,17,0,17,12,17
2820,20,0,0,7,0,7,24,L
2832,46,45,94,62,0,62,6,62
2967,26,30,9,22,0,22,12,22
2975,1,0,0,0,0,0,20,L
2994,5,5,0,3,0,3,14,3
3147,8,0,0,3,0,3,34,L
3150,42,53.4,62.5,53,0,53,6,53
3201,64,47.5,87.5,66,0,66,4,66
3213,20,20,10,17,0,17,12,17
3240,10,10,40,20,0,20,8,20
3247,23,7.5,15,15,0,15,12,15
3264,23,75,33,44,75,60,4,60
3287,26,37.5,61,42,0,42,4,42
3289,0,0,0,0,0,0,0,J
3346,23,25,0,16,0,16,18,L
3347,30,92.5,60,61,0,61,14,61
3464,30,70,39.5,47,0,47,0,47
3474,60,87.5,61,70,0,70,6,70
3475,50,80,39,56,0,56,14,56
3483,45,97.5,36,60,0,60,2,60
3486,44,5,0,16,0,16,18,L
3500,74,55,50,60,0,60,4,60
3504,20,40,40.5,34,0,34,14,34
3510,31,80,67.5,60,0,60,14,60
3511,30,35,0,22,0,22,26,L
